TagID,Date,Time,accX,accY,accZ,Activity,Depth,Temp. (?C),Metadata
01_S1,04/05/2023,16:19:26.000,0.0379,0.0688,0.9594,Active,0,-380.47,
01_S1,04/05/2023,16:19:26.100,0.0359,0.0803,0.9975,,,,
01_S1,04/05/2023,16:19:26.200,0.0377,0.0731,0.9962,,,,
01_S1,04/05/2023,16:19:26.300,0.0406,0.0767,0.9999,,,,
01_S1,04/05/2023,16:19:26.400,0.0404,0.0759,0.9980,,,,
01_S1,04/05/2023,16:19:26.500,0.0402,0.0751,0.9961,,,,
01_S1,04/05/2023,16:19:26.600,0.0405,0.0908,1.0054,,,,
01_S1,04/05/2023,16:19:26.700,0.0392,0.0757,0.9927,,,,
01_S1,04/05/2023,16:19:26.800,0.0378,0.0849,1.0003,,,,
01_S1,04/05/2023,16:19:26.900,0.0391,0.0773,0.9966,,,,
01_S1,04/05/2023,16:19:27.000,0.0381,0.0842,1.0021,Inactive,0,23.24,
01_S1,04/05/2023,16:19:27.100,0.0440,0.0782,1.0006,,,,
01_S1,04/05/2023,16:19:27.200,0.0426,0.0772,1.0012,,,,
01_S1,04/05/2023,16:19:27.300,0.0371,0.0794,0.9991,,,,
01_S1,04/05/2023,16:19:27.400,0.0411,0.0779,0.9953,,,,
01_S1,04/05/2023,16:19:27.500,0.0417,0.0742,0.9966,,,,
01_S1,04/05/2023,16:19:27.600,0.0416,0.0764,0.9982,,,,
01_S1,04/05/2023,16:19:27.700,0.0405,0.0758,0.9960,,,,
01_S1,04/05/2023,16:19:27.800,0.0408,0.0811,1.0018,,,,
01_S1,04/05/2023,16:19:27.900,0.0450,0.0748,1.0007,,,,
01_S1,04/05/2023,16:19:28.000,0.0383,0.0705,0.9921,Inactive,0,23.22,
01_S1,04/05/2023,16:19:28.100,0.0405,0.0673,1.0012,,,,
01_S1,04/05/2023,16:19:28.200,0.0397,0.0743,0.9957,,,,
01_S1,04/05/2023,16:19:28.300,0.0449,0.0770,0.9978,,,,
01_S1,04/05/2023,16:19:28.400,0.0392,0.0761,0.9968,,,,
01_S1,04/05/2023,16:19:28.500,0.0402,0.0760,0.9974,,,,
01_S1,04/05/2023,16:19:28.600,0.0421,0.0717,0.9957,,,,
01_S1,04/05/2023,16:19:28.700,0.0453,0.0754,1.0013,,,,
01_S1,04/05/2023,16:19:28.800,0.0375,0.0751,0.9948,,,,
01_S1,04/05/2023,16:19:28.900,0.0407,0.0724,0.9949,,,,
01_S1,04/05/2023,16:19:29.000,0.0499,0.0719,1.0035,Inactive,0,23.23,
01_S1,04/05/2023,16:19:29.100,0.0451,0.0790,1.0052,,,,
01_S1,04/05/2023,16:19:29.200,0.0436,0.0649,0.9965,,,,
01_S1,04/05/2023,16:19:29.300,0.0380,0.0827,1.0066,,,,
01_S1,04/05/2023,16:19:29.400,0.0468,0.0693,0.9966,,,,
01_S1,04/05/2023,16:19:29.500,0.0501,0.0685,1.0012,,,,
01_S1,04/05/2023,16:19:29.600,0.0378,0.0750,0.9968,,,,
01_S1,04/05/2023,16:19:29.700,0.0482,0.0720,1.0036,,,,
01_S1,04/05/2023,16:19:29.800,0.0488,0.0718,1.0013,,,,
01_S1,04/05/2023,16:19:29.900,0.0444,0.0735,1.0022,,,,
01_S1,04/05/2023,16:19:30.000,0.0483,0.0705,1.0005,Inactive,0,23.24,
01_S1,04/05/2023,16:19:30.100,0.0459,0.0838,1.0069,,,,
01_S1,04/05/2023,16:19:30.200,0.0439,0.0746,0.9983,,,,
01_S1,04/05/2023,16:19:30.300,0.0463,0.0751,1.0011,,,,
01_S1,04/05/2023,16:19:30.400,0.0444,0.0714,0.9969,,,,
01_S1,04/05/2023,16:19:30.500,0.0409,0.0702,0.9947,,,,
01_S1,04/05/2023,16:19:30.600,0.0410,0.0725,0.9987,,,,
01_S1,04/05/2023,16:19:30.700,0.0424,0.0697,0.9954,,,,
01_S1,04/05/2023,16:19:30.800,0.0392,0.0687,0.9954,,,,
01_S1,04/05/2023,16:19:30.900,0.0413,0.0718,0.9999,,,,
01_S1,04/05/2023,16:19:31.000,0.0495,0.0693,1.0013,Inactive,0,23.25,
01_S1,04/05/2023,16:19:31.100,0.0445,0.0746,1.0038,,,,
01_S1,04/05/2023,16:19:31.200,0.0441,0.0696,0.9972,,,,
01_S1,04/05/2023,16:19:31.300,0.0441,0.0721,1.0012,,,,
01_S1,04/05/2023,16:19:31.400,0.0454,0.0691,1.0012,,,,
01_S1,04/05/2023,16:19:31.500,0.0435,0.0709,1.0005,,,,
01_S1,04/05/2023,16:19:31.600,0.0422,0.0720,1.0004,,,,
01_S1,04/05/2023,16:19:31.700,0.0438,0.0704,0.9973,,,,
01_S1,04/05/2023,16:19:31.800,0.0452,0.0696,0.9995,,,,
01_S1,04/05/2023,16:19:31.900,0.0424,0.0734,1.0020,,,,
01_S1,04/05/2023,16:19:32.000,0.0427,0.0659,0.9944,Inactive,0,23.23,
01_S1,04/05/2023,16:19:32.100,0.0469,0.0735,1.0044,,,,
01_S1,04/05/2023,16:19:32.200,0.0461,0.0715,1.0018,,,,
01_S1,04/05/2023,16:19:32.300,0.0414,0.0693,0.9996,,,,
01_S1,04/05/2023,16:19:32.400,0.0435,0.0676,0.9993,,,,
01_S1,04/05/2023,16:19:32.500,0.0439,0.0682,0.9978,,,,
01_S1,04/05/2023,16:19:32.600,0.0473,0.0681,1.0015,,,,
01_S1,04/05/2023,16:19:32.700,0.0422,0.0662,0.9965,,,,
01_S1,04/05/2023,16:19:32.800,0.0379,0.0692,0.9916,,,,
01_S1,04/05/2023,16:19:32.900,0.0520,0.0818,1.0134,,,,
01_S1,04/05/2023,16:19:33.000,0.0532,0.0767,1.0068,Inactive,0,23.24,
01_S1,04/05/2023,16:19:33.100,0.0345,0.0724,0.9927,,,,
01_S1,04/05/2023,16:19:33.200,0.0439,0.0729,1.0026,,,,
01_S1,04/05/2023,16:19:33.300,0.0494,0.0704,1.0031,,,,
01_S1,04/05/2023,16:19:33.400,0.0414,0.0687,0.9965,,,,
01_S1,04/05/2023,16:19:33.500,0.0401,0.0704,0.9980,,,,
01_S1,04/05/2023,16:19:33.600,0.0446,0.0677,0.9996,,,,
01_S1,04/05/2023,16:19:33.700,0.0438,0.0698,1.0018,,,,
01_S1,04/05/2023,16:19:33.800,0.0421,0.0650,0.9987,,,,
01_S1,04/05/2023,16:19:33.900,0.0399,0.0677,0.9978,,,,
01_S1,04/05/2023,16:19:34.000,0.0418,0.0673,1.0011,Inactive,0,23.24,
01_S1,04/05/2023,16:19:34.100,0.0442,0.0682,1.0021,,,,
01_S1,04/05/2023,16:19:34.200,0.0421,0.0696,1.0015,,,,
01_S1,04/05/2023,16:19:34.300,0.0431,0.0655,0.9999,,,,
01_S1,04/05/2023,16:19:34.400,0.0415,0.0677,0.9951,,,,
01_S1,04/05/2023,16:19:34.500,0.0412,0.0668,0.9996,,,,
01_S1,04/05/2023,16:19:34.600,0.0439,0.0639,0.9982,,,,
01_S1,04/05/2023,16:19:34.700,0.0427,0.0659,0.9955,,,,
01_S1,04/05/2023,16:19:34.800,0.0425,0.0704,0.9996,,,,
01_S1,04/05/2023,16:19:34.900,0.0437,0.0681,1.0005,,,,
01_S1,04/05/2023,16:19:35.000,0.0397,0.0731,0.9974,Inactive,0,23.24,
01_S1,04/05/2023,16:19:35.100,0.0455,0.0700,0.9988,,,,
01_S1,04/05/2023,16:19:35.200,0.0427,0.0685,1.0001,,,,
01_S1,04/05/2023,16:19:35.300,0.0397,0.0640,0.9938,,,,
01_S1,04/05/2023,16:19:35.400,0.0432,0.0690,0.9997,,,,
01_S1,04/05/2023,16:19:35.500,0.0445,0.0644,0.9990,,,,
01_S1,04/05/2023,16:19:35.600,0.0450,0.0651,0.9973,,,,
01_S1,04/05/2023,16:19:35.700,0.0406,0.0679,0.9978,,,,
01_S1,04/05/2023,16:19:35.800,0.0461,0.0615,0.9972,,,,
01_S1,04/05/2023,16:19:35.900,0.0441,0.0662,0.9985,,,,
01_S1,04/05/2023,16:19:36.000,0.0421,0.0667,0.9947,Inactive,0,23.25,
01_S1,04/05/2023,16:19:36.100,0.0456,0.0690,0.9985,,,,
01_S1,04/05/2023,16:19:36.200,0.0424,0.0696,0.9980,,,,
01_S1,04/05/2023,16:19:36.300,0.0275,0.0688,0.9935,,,,
01_S1,04/05/2023,16:19:36.400,0.0594,0.0773,1.0047,,,,
01_S1,04/05/2023,16:19:36.500,0.0656,0.0689,0.9942,,,,
01_S1,04/05/2023,16:19:36.600,0.0650,0.0797,1.0229,,,,
01_S1,04/05/2023,16:19:36.700,0.0344,0.0684,0.9899,,,,
01_S1,04/05/2023,16:19:36.800,0.0455,0.0555,0.9967,,,,
01_S1,04/05/2023,16:19:36.900,0.0406,0.0649,1.0047,,,,
01_S1,04/05/2023,16:19:37.000,0.0426,0.0471,0.9924,Inactive,0,23.25,
01_S1,04/05/2023,16:19:37.100,0.0275,0.0663,1.0074,,,,
01_S1,04/05/2023,16:19:37.200,0.0297,0.0532,0.9979,,,,
01_S1,04/05/2023,16:19:37.300,0.0367,0.0383,0.9973,,,,
01_S1,04/05/2023,16:19:37.400,0.0325,0.0618,1.0130,,,,
01_S1,04/05/2023,16:19:37.500,0.0232,0.0568,1.0040,,,,TIMEMARK!
01_S1,04/05/2023,16:19:37.600,0.0236,0.0375,0.9940,,,,
01_S1,04/05/2023,16:19:37.700,0.0204,0.0393,0.9938,,,,
01_S1,04/05/2023,16:19:37.800,0.0195,0.0478,1.0026,,,,
01_S1,04/05/2023,16:19:37.900,0.0172,0.0487,0.9982,,,,
01_S1,04/05/2023,16:19:38.000,0.0186,0.0443,0.9999,Inactive,0,23.25,
01_S1,04/05/2023,16:19:38.100,0.0174,0.0443,0.9978,,,,
01_S1,04/05/2023,16:19:38.200,0.0207,0.0449,1.0015,,,,
01_S1,04/05/2023,16:19:38.300,0.0178,0.0485,0.9999,,,,
01_S1,04/05/2023,16:19:38.400,0.0236,0.0429,0.9999,,,,
01_S1,04/05/2023,16:19:38.500,0.0180,0.0440,0.9986,,,,
01_S1,04/05/2023,16:19:38.600,0.0209,0.0464,0.9999,,,,
01_S1,04/05/2023,16:19:38.700,0.0388,0.0385,1.0007,,,,
01_S1,04/05/2023,16:19:38.800,-0.0004,0.0414,0.9822,,,,
01_S1,04/05/2023,16:19:38.900,0.0045,0.0646,1.0198,,,,
01_S1,04/05/2023,16:19:39.000,0.0115,0.0537,0.9868,Inactive,0,23.26,
01_S1,04/05/2023,16:19:39.100,0.0565,0.0530,1.0139,,,,
01_S1,04/05/2023,16:19:39.200,0.0303,0.0493,1.0024,,,,
01_S1,04/05/2023,16:19:39.300,0.0113,0.0542,0.9943,,,,
01_S1,04/05/2023,16:19:39.400,0.0305,0.0321,0.9961,,,,
01_S1,04/05/2023,16:19:39.500,0.0081,0.0709,1.0062,,,,
01_S1,04/05/2023,16:19:39.600,0.0331,0.0477,0.9956,,,,
01_S1,04/05/2023,16:19:39.700,0.0350,0.0538,1.0121,,,,
01_S1,04/05/2023,16:19:39.800,0.0187,0.0500,0.9954,,,,
01_S1,04/05/2023,16:19:39.900,0.0247,0.0496,0.9991,,,,
01_S1,04/05/2023,16:19:40.000,0.0000,0.0000,0.0000,Inactive,,21,Power off command received.
